[2026-07-20 08:30:13] Sweep Monday 08:30:13: 1 due schedule(s) → 15 log row(s), 15 summary row(s).
[2026-07-20 08:32:54] Sweep Monday 08:32:54: 1 due schedule(s) → 0 log row(s), 0 summary row(s).
[2026-07-20 09:29:54] Sweep Monday 09:29:54: 1 due schedule(s) → 0 log row(s), 0 summary row(s).
[2026-07-20 09:32:44] Sweep Monday 09:32:44: 1 due schedule(s) → 0 log row(s), 0 summary row(s).
[2026-07-20 09:47:45] Sweep Monday 09:47:45: 2 due schedule(s) → 23 log row(s), 23 summary row(s).
[2026-07-20 10:01:04] Sweep Monday 10:01:04: 2 due schedule(s) → 0 log row(s), 0 summary row(s).
[2026-07-20 10:05:11] Sweep Monday 10:05:11: 2 due schedule(s) → 0 log row(s), 0 summary row(s).
[2026-07-20 10:21:19] Sweep Monday 10:21:19: 2 due schedule(s) → 0 log row(s), 0 summary row(s).
[2026-07-20 10:28:32] Sweep Monday 10:28:32: 2 due schedule(s) → 0 log row(s), 0 summary row(s).
[2026-07-20 10:33:13] Sweep Monday 10:33:13: 2 due schedule(s) → 0 log row(s), 0 summary row(s).
[2026-07-20 10:41:15] Sweep Monday 10:41:15: 2 due schedule(s) → 0 log row(s), 0 summary row(s).
[2026-07-20 10:47:52] Sweep Monday 10:47:52: 3 due schedule(s) → 0 log row(s), 0 summary row(s).
